Talent,Kavin,Virai,Khaylia,Culkoo,Okchota,BD,Doc
A Step Ahead,False,False,False,False,False,False,False
Acklay's Scything Strike,False,False,False,False,False,False,False
Adaptable,False,False,False,False,False,False,False
Against All Odds,False,False,False,False,False,False,False
Aggressive Negotiations,False,False,False,False,False,False,False
All-Terrain Driver,False,False,False,False,False,False,False
Altered Deal,False,False,False,False,False,False,False
Ambush,False,False,False,False,False,False,False
Analyze Data,False,False,False,False,False,False,False
Anatomy Lessons,False,False,False,True,False,False,False
Animal Bond,False,False,False,False,False,False,False
Improved Animal Bond,False,False,False,False,False,False,False
Animal Empathy,False,False,False,False,False,False,False
Another's Treasure,False,False,False,False,False,False,False
Armor Master,False,True,False,False,True,False,False
Improved Armor Master,False,True,False,False,False,False,False
Supreme Armor Master,False,False,False,False,False,False,False
As The Force Wills It,False,False,False,False,False,False,False
Assault Drop,False,False,False,False,False,False,False
At Any Cost,False,False,False,False,False,False,False
Ataru Technique,False,False,False,False,False,False,False
Backroom Deal,False,False,False,False,False,False,False
Bad Motivator,True,False,False,False,False,False,False
Bad Press,False,False,False,False,False,False,False
Balance,False,False,True,False,False,False,False
Baleful Gaze,False,False,False,False,False,False,False
Barrel Roll,False,False,False,False,False,False,False
Improved Barrel Roll,False,False,False,False,False,False,False
Supreme Barrel Roll,False,False,False,False,False,False,False
Basic Combat Training,False,False,True,True,True,False,False
Beginner's Luck,False,False,False,False,False,False,False
Better Luck Next Time,False,False,False,False,False,False,False
Biggest Fan,False,False,False,False,False,False,False
Blackmail,False,False,False,False,False,False,False
Blather,False,False,False,False,False,False,False
Blind Spot,False,False,False,False,False,False,False
Improved Blooded,False,False,False,False,False,False,False
Improved Body Guard,False,False,False,False,False,False,False
Supreme Body Guard,False,False,False,False,False,False,False
Bought Info,False,False,False,False,False,False,False
Bound Together,False,False,False,False,False,False,False
Improved Brace,False,False,False,False,False,False,False
Supreme Brace,False,False,False,False,False,False,False
Brachiation,False,False,False,False,True,False,False
Brilliant Evasion,False,False,False,False,False,False,False
Bring It Down,False,False,False,False,False,False,False
Call 'Em,False,False,False,False,False,False,False
Calm Commander,False,False,False,False,False,False,False
Calming Aura,False,False,False,False,False,False,False
Improved Calming Aura,False,False,False,False,False,False,False
Careful Planning,False,False,False,False,False,False,False
Improved Center of Being,False,False,False,False,False,False,False
Supreme Center of Being,False,False,False,False,False,False,False
Circle Of Shelter,False,False,False,False,False,False,False
Improved Clanker Killer,False,False,False,False,False,False,False
Clever Commander,False,False,False,False,False,False,False
Clever Solution,False,False,False,False,True,False,False
Combat Programming,False,False,False,False,False,False,False
Improved Commanding Presence,False,False,False,False,False,False,False
Comprehend Technology,False,False,False,False,False,False,False
Comrades In Arms,False,False,False,False,False,False,False
Improved Comrades in Arms,False,False,False,False,False,False,False
Improved Confidence,False,False,False,False,False,False,False
Consider Our Options,False,False,False,False,False,False,False
Improved Consider Our Options,False,False,False,False,False,False,False
Constant Vigilance,False,False,False,False,False,False,False
Contingency Plan,False,False,False,False,False,False,False
Contraption,True,False,False,False,False,False,False
Coordination Dodge,False,False,False,False,False,False,False
Corellian Sendoff,False,False,False,False,False,False,False
Improved Corellian Sendoff,False,False,False,False,False,False,False
Counterstrike,False,False,False,False,False,False,False
Coven,False,False,False,False,False,False,False
Creative Killer,False,False,False,False,False,False,False
Crippling Blow,False,False,False,False,False,False,False
Cruel Commander,False,False,False,False,False,False,False
Cunning Persona,False,False,False,False,False,False,False
Cunning Snare,False,False,False,False,False,False,False
Custom Loadout,False,False,False,False,False,False,False
Cutting Question,False,False,False,False,False,False,False
Dead To Rights,False,False,False,False,False,False,False
Improved Dead to Rights,False,False,False,False,False,False,False
Deathblow,False,False,False,False,False,False,False
Debilitating Shot,False,False,False,False,False,False,False
Deceptive Taunt,False,False,False,False,False,False,False
Defensive Circle,False,False,False,False,False,False,False
Improved Defensive Slicing,False,False,False,False,False,False,False
Desperate Repairs,False,False,False,False,False,False,False
Diplomatic Immunity,False,False,False,False,False,False,False
Disciplined Soul,False,False,False,False,False,False,False
Discredit,False,False,False,False,False,False,False
Disorienting Strike,False,False,False,False,False,False,False
Disruptive Strike,False,False,False,False,False,False,False
Improved Distracting Behavior,False,False,False,False,False,False,False
Djem So Deflection,False,False,False,False,False,False,False
Improved Dodge,False,False,False,False,False,False,False
Don't Shoot!,False,False,False,False,False,False,False
Double Or Nothing,False,False,False,False,False,False,False
Improved Double or Nothing,False,False,False,False,False,False,False
Supreme Double or Nothing,False,False,False,False,False,False,False
Double-Talk,False,False,False,False,False,False,False
Draw Closer,False,False,False,False,False,False,False
Droid Commander,False,False,False,False,False,False,False
Duelist's Training,False,False,False,False,False,False,False
Dynamic Fire,False,False,True,False,False,False,False
Empty Soul,False,False,False,False,False,False,False
Encoded Communiqué,False,False,False,False,False,False,False
Encouraging Words,False,False,False,False,False,False,False
Enduring Presence,False,False,False,False,False,False,False
Energy Transfer,False,False,False,False,False,False,False
Engineered Redundancies,False,False,False,False,False,False,False
Enhanced Leader,False,False,False,False,False,False,False
Essential Kill,False,False,False,False,False,False,False
Exceed Specifications,False,False,False,False,False,False,False
Improved Exceed Specifications,False,False,False,False,False,False,False
Supreme Exceed Specifications,False,False,False,False,False,False,False
Exemplar Of The Republic,False,False,False,False,False,False,False
Exhaust Port,False,False,False,False,False,False,False
Exhaustive Questioning,False,False,False,False,False,False,False
Extended Reach,False,False,False,False,False,False,False
Fall Back!,False,False,False,False,False,False,False
Falling Avalanche,False,False,False,False,False,False,False
Familiar Suns,False,False,False,False,False,False,False
Fancy Paint Job,False,False,False,False,False,False,False
Far Strike,False,False,False,False,False,False,False
Fear The Shadows,False,False,False,False,False,False,False
Field Commander,False,False,False,False,False,False,False
Improved Field Commander,False,False,False,False,False,False,False
Fire Control,False,False,False,False,False,False,False
Fire When Ready,False,False,False,False,False,False,False
Flows Through All Things,False,False,False,False,False,False,False
Font Of Power,False,False,False,False,False,False,False
For The Republic!,False,False,False,False,False,False,False
Forager,False,False,True,True,False,False,False
Force Assault,False,False,False,False,False,False,False
Force Connection,False,False,False,False,False,False,False
Force Of Will,False,False,False,False,False,False,False
Forewarning,False,False,False,False,False,False,False
Form On Me,False,False,False,False,False,False,False
Formation Tactics,False,False,False,False,False,False,False
Improved Formation Tactics,False,False,False,False,False,False,False
Fortune Favors The Bold,False,False,False,False,False,False,False
Freerunning,False,False,False,False,False,False,False
Improved Freerunning,False,False,False,False,False,False,False
Full Stop,False,False,False,False,False,False,False
Full Throttle,False,False,True,False,False,False,False
Improved Full Throttle,False,False,False,False,False,False,False
Supreme Full Throttle,False,False,False,False,False,False,False
Get The Drop,False,False,False,False,False,False,False
Go Without,False,False,False,False,False,False,False
Grapple,False,False,False,False,False,False,False
Guardian Of The Republic,False,False,False,False,False,False,False
Guns Blazing,False,False,False,False,False,False,False
Harass,False,False,False,False,False,False,False
Improved Hard Headed,False,False,False,False,False,False,False
Hawk Bat Swoop,False,False,False,False,False,False,False
Headbutt,False,False,False,False,False,False,False
Improved Healing Trance,False,False,False,False,False,False,False
Heavy Hitter,False,False,False,False,False,False,False
Heroic Fortitude,False,True,False,False,False,False,False
Heroic Resilience,False,True,False,False,False,False,False
Improved Hidden Storage,False,False,False,False,False,False,False
Hindering Shot,False,False,False,False,False,False,False
Hit And Run,False,False,False,False,False,False,False
Hold Together,False,False,False,False,False,False,False
Holistic Navigation,False,False,False,False,False,False,False
Hunter's Quarry,False,False,False,False,False,False,False
Improved Hunter's Quarry,False,False,False,False,False,False,False
Hyperspace Assault,False,False,False,False,False,False,False
Ichor Blade,False,False,False,False,False,False,False
Improved Ichor Blade,False,False,False,False,False,False,False
Ichor Reserve,False,False,False,False,False,False,False
Ichor Transfusion,False,False,False,False,False,False,False
Identify Ingredients,False,False,False,False,False,False,False
Imbue Item,False,False,False,False,False,False,False
Impossible Fall,False,False,False,False,False,False,False
Improvised Concoction,False,False,False,False,False,False,False
Improvised Defenses,False,False,False,False,False,False,False
Improvised Detonation,False,False,False,False,False,False,False
Improved Improvised Detonation,False,False,False,False,False,False,False
Improvised Position,False,False,False,False,False,False,False
Improved In the Know,False,False,False,False,False,False,False
Incite Distraction,False,False,False,False,False,False,False
Incite Rebellion,False,False,False,False,False,False,False
Improved Indistinguishable,False,False,False,False,False,False,False
Indomitable Will,False,False,False,False,False,False,False
Informant,False,False,False,False,False,False,False
Infravision,True,False,False,False,False,False,False
Ingrained Loyalty,False,False,False,False,False,False,False
Inside Knowledge,False,False,False,False,False,False,False
Inside Person,False,False,False,False,False,False,False
Insight,False,False,True,False,False,False,False
Inspiring Kill,False,False,False,False,False,False,False
Inspiring Leadership,False,False,False,False,False,False,False
Inspiring Rhetoric,False,False,False,False,False,False,False
Improved Inspiring Rhetoric,False,False,False,False,False,False,False
Supreme Inspiring Rhetoric,False,False,False,False,False,False,False
Intense Focus,True,False,False,False,False,False,False
Intense Presence,False,False,False,False,False,False,False
Interjection,False,False,False,False,False,False,False
Intuitive Improvements,False,False,False,False,False,False,False
Intuitive Navigation,False,False,False,False,False,False,False
Intuitive Shot,False,False,False,False,False,False,False
Intuitive Strike,False,False,False,False,False,False,False
Invigorate,False,False,False,False,False,False,False
Iron Soul,False,False,False,False,False,False,False
It's Not That Bad,False,False,True,False,False,False,False
Jetpack Expertise,False,False,False,False,False,False,False
Jump Up,False,True,True,True,True,False,False
Just Kidding!,False,False,False,False,False,False,False
Juyo Savagery,False,False,False,False,False,False,False
Knockdown,False,True,False,False,True,False,False
Know The Enemy,False,False,False,False,False,False,False
Improved Know Their Weakness,False,False,False,False,False,False,False
Know-It-All,False,False,False,False,False,False,False
Knowledge Is Power,False,False,False,False,False,False,False
Knowledge Is Strength,False,False,False,False,False,False,False
Knowledgeable Healing,False,False,False,False,False,False,False
Known Programming,False,False,False,False,False,False,False
Improved Known Programming,False,False,False,False,False,False,False
Known Schematic,False,False,False,False,False,False,False
Knows The Ropes,False,False,False,False,False,False,False
Koiogran Turn,False,False,False,False,False,False,False
Lateral Thinking,False,False,False,False,False,False,False
Learning Opportunity,False,False,False,False,False,False,False
Let's Ride,False,False,True,False,True,False,False
Loom,False,False,False,False,False,False,False
Lose Them,False,False,False,False,False,False,False
Made You Talk,False,False,False,False,False,False,False
Makashi Finish,False,False,False,False,False,False,False
Makashi Flourish,False,False,False,False,False,False,False
Makashi Technique,False,False,False,False,False,False,False
Marked For Death,False,False,False,False,False,False,False
Martial Grace,False,False,False,False,False,False,False
Master Artisan,False,False,False,False,False,False,False
Master Demolitionist,False,False,False,False,False,False,False
Master Doctor,False,False,True,False,False,False,False
Master Driver,False,False,False,False,False,False,False
Master Grenadier,False,False,False,False,False,False,False
Master Instructor,False,False,False,False,False,False,False
Master Leader,False,False,False,False,False,False,False
Master Merchant,False,False,False,False,False,False,False
Master Of Shadows,False,False,False,True,True,False,False
Master Of The Order,False,False,False,False,False,False,False
Master Pilot,False,False,True,False,False,False,False
Master Slicer,False,False,False,False,False,False,False
Master Starhopper,False,False,False,False,False,False,False
Master Strategist,False,False,False,False,False,False,False
Meditative Trance,False,False,False,False,False,False,False
Menace,False,False,False,False,False,False,False
Mental Bond,False,False,False,False,False,False,False
Mental Fortress,False,False,False,False,False,False,False
Mental Tools,False,False,False,False,False,False,False
Mind Bleed,False,False,False,False,False,False,False
Mind Over Matter,False,False,False,False,False,False,False
Mission Critical,False,False,False,False,False,False,False
Most Impressive,False,False,False,False,False,False,False
Multiple Opponents,False,False,False,False,False,False,False
Museum Worthy,False,False,False,False,False,False,False
Natural Athlete,False,False,False,False,False,False,False
Natural Blademaster,False,False,False,False,False,False,False
Natural Brawler,False,False,False,False,True,False,False
Natural Champion,False,False,False,False,False,False,False
Natural Charmer,False,False,False,False,False,False,False
Natural Commando,False,False,False,False,False,False,False
Natural Doctor,False,False,False,False,False,False,False
Natural Driver,False,False,False,False,False,False,False
Natural Enforcer,False,False,False,False,False,False,False
Natural Hunter,False,False,False,False,True,False,False
Natural Instructor,False,False,False,False,False,False,False
Natural Leader,False,False,False,False,False,False,False
Natural Marksman,False,False,False,False,False,False,False
Natural Merchant,False,False,False,False,False,False,False
Natural Mystic,False,False,False,False,False,False,False
Natural Negotiator,False,False,False,False,False,False,False
Natural Operator,False,False,False,False,False,False,False
Natural Outdoorsman,False,False,False,True,False,False,False
Natural Pilot,False,False,False,False,False,False,False
Natural Programmer,False,False,False,False,False,False,False
Natural Rogue,False,False,False,False,True,False,False
Natural Scholar,False,False,False,False,False,False,False
Natural Tinkerer,True,False,False,False,False,False,False
Natural Trooper,False,False,False,False,False,False,False
Niman Technique,False,False,False,False,False,False,False
No Escape,False,False,False,False,False,False,False
Improved Nobody's Fool,False,False,False,False,False,False,False
Not Today,False,False,False,False,False,False,False
Now The Master,False,False,False,False,False,False,False
Now You See Me,False,False,False,False,False,False,False
Offensive Driving,False,False,False,False,False,False,False
On My Order,False,False,False,False,False,False,False
Once A Learner,False,False,False,False,False,False,False
One Person's Trash,False,False,False,False,False,False,False
One With Nature,False,False,False,False,False,False,False
One With The Universe,False,False,False,False,False,False,False
Ordnance Saturation,False,False,False,False,False,False,False
Outmaneuver,False,False,False,False,False,False,False
Overbalance,False,False,False,False,False,False,False
Overcharge,False,False,False,False,False,False,False
Improved Overcharge,False,False,False,False,False,False,False
Supreme Overcharge,False,False,False,False,False,False,False
Overwhelm Emotions,False,False,False,False,False,False,False
Improved Overwhelming Aura,False,False,False,False,False,False,False
Improved Parry,False,False,False,False,False,False,False
Supreme Parry,False,False,False,False,False,False,False
Persistent Targeting,False,False,False,False,False,False,False
Pilot Training,False,False,False,False,False,False,False
Pin,False,False,False,False,False,False,False
Improved Plausible Deniability,False,False,False,False,False,False,False
Improved Positive Spin,False,False,False,False,False,False,False
Power From Pain,False,False,False,False,False,False,False
Power Of Darkness,False,False,False,False,False,False,False
Powerful Ally,False,False,False,False,False,False,False
Practiced Strategist,False,False,False,False,False,False,False
Precision Strike,False,False,False,False,False,False,False
Improved Precision Strike,False,False,False,False,False,False,False
Supreme Precision Strike,False,False,False,False,False,False,False
Preemptive Avoidance,False,False,False,False,False,False,False
Preemptive Intervention,False,False,False,False,False,False,False
Prepare To Be Boarded!,False,False,False,False,False,False,False
Prescient Shot,False,False,False,False,False,False,False
Pressure Point,False,False,False,False,False,False,False
Pride And Joy,False,False,False,False,False,False,False
Improved Pride and Joy,False,False,False,False,False,False,False
Supreme Pride and Joy,False,False,False,False,False,False,False
Prophetic Aim,False,False,False,False,False,False,False
Push Aside,False,False,False,False,False,False,False
Push The Specs,False,False,False,False,False,False,False
Quick Draw,False,True,True,True,False,False,False
Improved Quick Draw,False,False,False,False,False,False,False
Quick Fix,False,False,False,False,False,False,False
Quick Movement,False,False,False,False,False,False,False
Rain Of Death,False,True,False,False,False,False,False
Rapid Fire,False,False,False,False,False,False,False
Ravage,False,True,False,False,False,False,False
Improved Ready for Anything,False,False,False,False,False,False,False
Reconstruct The Scene,False,False,False,False,False,False,False
Redundant Systems,True,False,False,False,False,False,False
Improved Reflect,False,False,False,True,False,False,False
Supreme Reflect,False,False,False,False,False,False,False
Reinforce Item,False,False,False,False,False,False,False
Reinforced Frame,False,False,False,False,False,False,False
Renegade Form,False,False,False,False,False,False,False
Reroute Processors,False,False,False,False,False,False,False
Improved Researcher,False,False,False,False,False,False,False
Resist Disarm,False,False,False,False,False,False,False
Resist Questioning,False,False,False,False,False,False,False
Improved Resist Questioning,False,False,False,False,False,False,False
Resource Allocation,False,False,False,False,False,False,False
Resourceful Refit,False,False,False,False,False,False,False
Saber Swarm,False,False,False,False,False,False,False
Saber Throw,False,False,False,False,False,False,False
Improved Saber Throw,False,False,False,False,False,False,False
Sapith Sundering,False,False,False,False,False,False,False
Sarlaac Sweep,False,False,False,False,False,False,False
Improved Savvy Negotiator,False,False,False,False,False,False,False
Scathing Tirade,False,False,False,False,False,False,False
Improved Scathing Tirade,False,False,False,False,False,False,False
Supreme Scathing Tirade,False,False,False,False,False,False,False
Scrap 'Em!,False,False,False,False,False,False,False
Improved Scrap 'em!,False,False,False,False,False,False,False
Secrets Of The Force,False,True,False,False,False,False,False
Secrets Of The Jedi,False,False,False,False,False,False,False
Improved Secrets of the Jedi,False,False,False,False,False,False,False
Seen A Lot Of Things,False,False,False,False,False,False,False
Seize The Initiative,False,False,False,False,False,False,False
Sense Advantage,False,False,False,False,False,False,False
Sense Danger,False,False,True,True,False,False,False
Sense Emotions,False,True,False,False,False,False,False
Sense The Scene,False,False,False,False,False,False,False
Share Pain,False,False,False,False,False,False,False
Shien Technique,False,False,False,True,False,False,False
Improved Shortcut,False,False,False,False,False,False,False
Showboat,False,False,False,False,False,False,False
Shroud,False,False,False,False,False,False,False
Side By Side,False,False,False,False,False,False,False
Improved Side Step,False,False,False,False,False,False,False
Signature Vehicle,False,False,False,False,False,False,False
Sincerest Flattery,False,False,False,False,False,False,False
Situational Awareness,False,False,False,False,False,False,False
Sixth Sense,False,False,False,False,False,False,False
Skilled Slicer,False,False,False,False,False,False,False
Slippery Minded,False,False,False,False,False,False,False
Smart Handling,False,False,False,False,False,False,False
Soft Spot,False,False,False,True,True,False,False
Something To Prove,False,False,False,False,False,False,False
Soothing Tone,False,False,False,False,False,False,False
Soresu Technique,False,False,False,False,False,False,False
Sorry About The Mess,False,True,False,False,False,False,False
Spare Clip,False,False,False,False,False,False,False
Improved Speaks Binary,False,False,False,False,False,False,False
Supreme Speaks Binary,False,False,False,False,False,False,False
Spitfire,False,False,False,False,False,False,False
Spur,False,False,False,False,False,False,False
Improved Spur,False,False,False,False,False,False,False
Supreme Spur,False,False,False,False,False,False,False
Stand Firm!,False,False,False,False,False,False,False
Improved Stand Firm!,False,False,False,False,False,False,False
Steady Aim,False,False,False,False,False,False,False
Steely Nerves,False,False,False,False,False,False,False
Stim Application,False,False,True,False,False,False,False
Improved Stim Application,False,False,True,False,False,False,False
Supreme Stim Application,False,False,False,False,False,False,False
Strategic Form,False,False,False,False,False,False,False
Improved Street Smarts,False,False,False,False,False,False,False
Stroke Of Genius,False,False,False,False,False,False,False
Strong Arm,True,True,False,False,True,False,False
Studious Plotting,False,False,False,False,False,False,False
Stunning Blow,False,False,False,False,True,False,False
Improved Stunning Blow,False,False,False,False,True,False,False
Sum Djem,False,False,False,False,False,False,False
Summon Item,False,False,False,False,False,False,False
Sunder (Improved),False,False,False,False,False,False,False
Superhuman Reflexes,False,False,False,False,False,False,False
Superior Reflexes,False,False,False,False,False,False,False
Survival Of The Fittest,False,False,False,False,False,False,False
Survivor's Instincts,False,False,False,False,False,False,False
Swift,False,False,False,True,False,False,False
Tactical Advance,False,False,False,False,False,False,False
Improved Tactical Advance,False,False,False,False,False,False,False
Tactical Combat Training,False,False,True,False,False,False,False
Tactical Evasion,False,False,False,False,False,False,False
Tactical Planning,False,False,False,False,False,False,False
Talk The Talk,False,False,False,False,False,False,False
Targeted Blow,False,False,False,True,False,False,False
Targeted Firepower,False,False,False,False,False,False,False
Temple Training,False,False,False,False,False,False,False
Terrify,False,False,False,False,False,False,False
Improved Terrify,False,False,False,False,False,False,False
Terrifying Kill,False,False,False,False,False,False,False
The Force Is My Ally,False,False,False,False,False,False,False
There Is No Try,False,False,False,False,False,False,False
Thorough Assessment,False,False,False,False,False,False,False
Throwing Credits,False,False,False,False,False,False,False
Time To Go,False,False,False,False,False,False,False
Improved Time to Go,False,False,False,False,False,False,False
To The Death!,False,False,False,False,False,False,False
Touch Of Fate,False,False,False,False,False,False,False
Improved Toughened,False,False,False,False,False,False,False
Translation Error,False,False,False,False,False,False,False
Transmogrify,False,False,False,False,False,False,False
Tricky Target,False,False,True,False,False,False,False
Trust No One,False,False,False,False,False,False,False
Twisted Words,False,False,False,False,False,False,False
Unarmed Parry,False,False,False,False,False,False,False
Unity Assault,False,False,False,False,False,False,False
Unrelenting Skeptic,False,False,False,False,False,False,False
Improved Unrelenting Skeptic,False,False,False,False,False,False,False
Unstoppable,False,True,False,False,False,False,False
Utility Belt,False,False,False,False,True,False,False
Improved Utility Belt,False,False,False,False,False,False,False
Vaapad Control,False,False,False,False,False,False,False
Valuable Facts,False,False,False,False,False,False,False
Vehicle Combat Training,False,True,False,False,False,False,False
Walk The Walk,False,False,False,False,False,False,False
Weak Foundation,False,False,False,False,False,False,False
Well Traveled,False,False,False,False,False,False,False
Will Of The Force,False,False,False,False,False,False,False
Wise Warrior,False,False,False,False,False,False,False
Improved Wise Warrior,False,False,False,False,False,False,False
Witchcraft,False,False,False,False,False,False,False
Works Like A Charm,False,False,False,False,False,False,False
